Tittle,Author,Narrated,Length,Release,Language
Peace Spawner,Alvin Atwater,"Matt Hicks, Allie Piper",18 hrs and 8 mins,07-06-23,English
Swimming in the Sacred,Rachel Harris PhD,Kathleen Li,7 hrs and 49 mins,06-27-23,English
Slow Time Between the Stars,John Scalzi,Kay Eluvian,56 mins,06-27-23,English
The Full Fee Agent,"Chris Voss, Steve Shull",Steve Shull,5 hrs and 6 mins,06-12-23,English
Fear the Silence,Robert Bryndza,Jilly Bond,9 hrs and 36 mins,07-06-23,English
Darkkin Knight,John Conroe,Lily Ganser,13 hrs and 24 mins,06-13-23,English
Champion's Trial,JJ Bookerson,"Anne Marie Lebeaur, Jack Smith",14 hrs and 54 mins,07-12-23,English
"Sorry I'm Late, I Didn't Want to Come",Jessica Pan,Jessica Pan,8 hrs and 52 mins,06-27-23,English
Rich Kid,Khan Nguyen,Abdullah Fahim,1 hr and 29 mins,06-12-23,English
The AI Revolution in Medicine,"Peter Lee, Carey Goldberg, Isaac Kohane",J. Hunter Ackerman,7 hrs and 24 mins,07-03-23,English
I Married a Dryad,Regine Abel,Daryl Mayfield,8 hrs and 26 mins,06-23-23,English
Hidden Beneath,Barbara Ross,Dara Rosenberg,6 hrs and 17 mins,06-27-23,English
The Ruby Heart of the Dragon,Mark Borax,Mark Borax,9 hrs and 11 mins,06-06-23,English
They All Died Screaming,"Kristopher Triana, Blood Bound Books",Chuck Brugee,8 hrs and 37 mins,06-12-23,English
Healing Power,Greg Mitchell,Greg Mitchell,6 hrs and 2 mins,06-12-23,English
The Gift of Violence,"Matt Thornton, Peter Boghossian","Matt Thornton, Salome Thornton, Peter Boghossian",9 hrs and 27 mins,06-15-23,English
The Other Mistress,Shanora Williams,"Ebony Mendez, Niecey Bethea",7 hrs and 42 mins,06-27-23,English
Rise of the Giants,Steve Gilmore,Jeremy Arthur,8 hrs and 55 mins,06-22-23,English
The Science of Reading in Action,Malia Hollowell,Malia Hollowell,2 hrs and 59 mins,06-14-23,English
Our Cosmic Origin,Ismael Perez,Benjamin Powell,11 hrs and 54 mins,06-26-23,English
Catalyst,Nicole Fanning,"Maxine Mitchell, Grayson Owens",16 hrs and 29 mins,07-06-23,English
Leviathan,Darius Hinks,Theo Solomon,12 hrs and 13 mins,06-24-23,English
The Truth About the Accident,Nicole Trope,Taryn Ryan,8 hrs and 42 mins,06-30-23,English
Heartstrong,Ellidy Pullin,"Chris Pullin, Ellidy Pullin",6 hrs and 22 mins,07-01-23,English
El cuerpo grita lo que las emociones callan,Carolina Novoa Arias,Carolina Novoa Arias,4 hrs and 17 mins,06-07-23,Spanish
Ultra-Processed People,Chris van Tulleken,"Chris van Tulleken, Dr. Xand van Tulleken",11 hrs and 35 mins,06-27-23,English
The Puppeteers,Jason Chaffetz,Jason Chaffetz,8 hrs and 49 mins,06-06-23,English
Where Violets Bloom,Daisy Jane,"Ryan West, Daisy Jane",12 hrs and 45 mins,06-20-23,English
Kingdom of Blood and Salt,Alexis Calder,Amy Kennedy,9 hrs and 18 mins,06-10-23,English
A Dynamic Career in Communications,yasiin bey,yasiin bey,1 hr and 19 mins,07-07-23,English
The Blood Sugar Fix,"James DiNicolantonio, Siim Land",Mike Norgaard,7 hrs and 37 mins,06-30-23,English
The War on Ivermectin,Pierre Kory,Troy Wolfe,10 hrs and 14 mins,06-29-23,English
The Shift,Tinx,Tinx,5 hrs and 17 mins,05-23-23,English
So Good They Call You a Fake,Joshua Lisec,Dylan Reese Marshall,5 hrs and 20 mins,06-16-23,English
The Red Room,Mark Dawson,Simon Vance,10 hrs and 9 mins,06-27-23,English
Wet,Cambria Hebert,"Celia Stone, Oliver Highpoint",10 hrs and 14 mins,07-03-23,English
Raised to Stay,Natalie Runion,Natalie Runion,5 hrs and 4 mins,07-04-23,English
You'll Come Back to Yourself,Michaela Angemeer,Michaela Angemeer,26 mins,06-06-23,English
Silver Spines,"Jaime Castle, Andy Peloquin","Michael Kramer, Kate Reading",20 hrs and 12 mins,07-11-23,English
The Book of G,Lily Archer,Stephen Dexter,11 hrs and 44 mins,06-10-23,English
Forbidden Song (Dramatized Adaptation),"Pierce Brown, Rik Hoskin","Andy Brownstein, David Jourdan, Holly Adams, Lise Bruneau, Nick DePinto, Richard Rohan, Todd Scofield, Ian Russell, Jenna Sharpe, Stephanie Nemeth-Parker, Peter Stanley",3 hrs and 39 mins,07-12-23,English
When Crack Was King,Donovan X. Ramsey,Donovan X. Ramsey,11 hrs and 33 mins,07-11-23,English
Fourth Wing,Rebecca Yarros,"Rebecca Soler, Teddy Hamilton",20 hrs and 43 mins,05-02-23,English
Storm Surge,Blaine L. Pardoe,Noah Michael Levine,15 hrs and 6 mins,07-12-23,English
Rise of the Lycanthrope,Brock Walker,Samara Naeymi,21 hrs and 59 mins,07-13-23,English
Murder Is a Piece of Cake,Valerie Burns,Jasmin Walker,5 hrs and 57 mins,06-27-23,English
How to Flourish,"Aristotle, Susan Sauve Meyer - translator introduction",Hannibal Hills,2 hrs and 44 mins,06-20-23,English
Positive Provocation,Robert Biswas-Diener,Andrew Joseph Perez,6 hrs,06-12-23,English
One Summer in Savannah,Terah Shelton Harris,Zuzu Robinson,13 hrs and 12 mins,07-04-23,English
All My Knotted-Up Life,Beth Moore,Beth Moore,8 hrs and 29 mins,02-21-23,English
Ground Truth,Diane Capri,Corey M. Snow,8 hrs and 10 mins,06-30-23,English
How It Unfolds,James S. A. Corey,James Patrick Cronin,57 mins,06-27-23,English
The Book of Azrael,Amber Nicole,Ruthie Bowles,21 hrs and 15 mins,06-12-23,English
The Setup,Dan Bilzerian,Jas Patrick,11 hrs and 29 mins,06-13-23,English
10x Is Easier than 2x,"Dan Sullivan, Dr. Benjamin Hardy",Dr. Benjamin Hardy,9 hrs and 58 mins,05-09-23,English
